vehicle_number,driver_name,vehicle_manufacturer,leader_lap,lap_count,pit_in_flag_status,pit_out_flag_status,pit_in_race_time,pit_out_race_time,total_duration,box_stop_race_time,box_leave_race_time,pit_stop_duration,in_travel_duration,out_travel_duration,pit_stop_type,left_front_tire_changed,left_rear_tire_changed,right_front_tire_changed,right_rear_tire_changed,previous_lap_time,next_lap_time,pit_in_rank,pit_out_rank,positions_gained_lost,race_id
98,Christian Eckes,Toyota,63,63,2,2,3250.579,3333.872,83.2929,3283.6221,3318.1371,34.5149,33.0431,15.7348,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
98,Christian Eckes,Toyota,95,95,2,2,5028.154,5092.151,63.9969,5059.7215,5076.6052,16.8836,31.5675,15.5457,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
4,John Hunter Nemechek,Toyota,38,38,2,2,1468.086,1532.717,64.631,1508.556,1526.5801,18.024,40.47,6.1368,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
02,Jesse Little,Chevrolet,38,38,2,2,1479.244,1557.698,78.454,1523.1377,1552.5357,29.398,43.8937,5.1622,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
02,Jesse Little,Chevrolet,47,47,2,2,2107.2,2163.015,55.815,2147.9687,2156.6766,8.7078,40.7687,6.3383,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,5228
02,Jesse Little,Chevrolet,54,54,2,2,2631.202,2706.559,75.3569,2667.5955,2700.9946,33.399,36.3935,5.5643,TWO_WHEEL_CHANGE_LEFT,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,5228
4,John Hunter Nemechek,Toyota,54,54,2,2,2627.732,2816.542,188.8099,2661.6563,2810.0681,148.4117,33.9243,6.4738,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
02,Jesse Little,Chevrolet,56,56,2,2,2801.683,2899.479,97.7959,2841.4065,2893.0897,51.6831,39.7235,6.3892,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,5228
4,John Hunter Nemechek,Toyota,57,56,2,2,2893.9119,0,0,2931.2316,2986.2301,54.9984,37.3196,0,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,5228
02,Jesse Little,Chevrolet,63,63,2,2,3265.6329,3334.9989,69.3659,3306.1415,3329.3311,23.1896,40.5085,5.6678,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
02,Jesse Little,Chevrolet,72,72,2,2,3912.841,3968.164,55.323,3948.6942,3962.8422,14.148,35.8532,5.3217,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,5228
02,Jesse Little,Chevrolet,95,95,2,2,5042.458,5103.305,60.847,5086.9823,5097.9598,10.9774,44.5243,5.3451,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,5228
02,Jesse Little,Chevrolet,125,125,2,2,6543.212,6613.655,70.4429,6584.3451,6608.3351,23.9899,41.1331,5.3198,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
30,Tate Fogleman,Toyota,39,38,2,2,1557.691,1626.467,68.776,1584.4638,1606.2461,21.7823,26.7728,20.2208,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
30,Tate Fogleman,Toyota,56,55,2,2,2798.148,2866.943,68.795,2820.1186,2846.3001,26.1815,21.9706,20.6428,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
30,Tate Fogleman,Toyota,64,64,2,2,3349.582,3402.682,53.0999,3374.0462,3382.8216,8.7754,24.4642,19.8603,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,5228
30,Tate Fogleman,Toyota,72,72,2,2,3915.143,3977.866,62.7229,3937.1159,3957.7311,20.6152,21.9729,20.1348,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
30,Tate Fogleman,Toyota,95,95,2,2,5042.856,5118.178,75.322,5071.6335,5097.2461,25.6126,28.7775,20.9318,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
30,Tate Fogleman,Toyota,125,125,2,2,6545.39,6616.936,71.5459,6570.3654,6596.6931,26.3277,24.9754,20.2428,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
30,Tate Fogleman,Toyota,160,160,2,2,8299.788,8366.8439,67.0559,8326.2404,8346.4651,20.2247,26.4524,20.3788,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
88,Matt Crafton,Toyota,38,38,2,2,1471.232,1536.928,65.696,1510.558,1529.4312,18.8732,39.326,7.4967,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
88,Matt Crafton,Toyota,72,72,2,2,3901.884,3965.505,63.621,3940.7529,3958.2742,17.5213,38.8689,7.2307,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
88,Matt Crafton,Toyota,95,95,2,2,5036.089,5102.2209,66.1319,5076.6386,5094.8532,18.2146,40.5496,7.3677,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
45,Lawless Alan #,Chevrolet,38,38,2,2,1483.6289,1561.339,77.71,1517.7319,1545.8361,28.1041,34.1029,15.5028,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
45,Lawless Alan #,Chevrolet,63,63,2,2,3259.354,3322.594,63.24,3289.8195,3304.6066,14.787,30.4655,17.9873,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,5228
45,Lawless Alan #,Chevrolet,95,95,2,2,5037.786,5108.517,70.7309,5069.2645,5092.9901,23.7255,31.4785,15.5268,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
42,Carson Hocevar,Chevrolet,11,10,1,1,917.205,1090.535,173.33,931.3451,1064.4171,133.0719,14.1401,26.1178,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,5229
52,Stewart Friesen,Toyota,16,15,1,1,1351.58,1403.756,52.176,1372.2083,1388.8304,16.622,20.6283,14.9255,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
41,Ross Chastain(i),Chevrolet,16,16,1,1,1381.449,1432.1099,50.6609,1399.0619,1431.275,32.213,17.6129,0.8349,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
