race_id,series_id,race_season,rr_id
4703,1,2018,26
4704,1,2018,27
4705,1,2018,28
4706,1,2018,29
4707,1,2018,30
4708,1,2018,31
4709,1,2018,32
4710,1,2018,33
4711,1,2018,34
4712,1,2018,35
4713,1,2018,36
4714,2,2018,01
4715,2,2018,02
4716,2,2018,03
4717,2,2018,04
4718,2,2018,05
4719,2,2018,06
4720,2,2018,07
4721,2,2018,08
4722,2,2018,09
4723,2,2018,10
4724,2,2018,11
4725,2,2018,12
4726,2,2018,13
4727,2,2018,14
4728,2,2018,15
4729,2,2018,16
4730,2,2018,17
4731,2,2018,18
4732,2,2018,19
4733,2,2018,20
4734,2,2018,21
4735,2,2018,22
4736,2,2018,23
4737,2,2018,24
4738,2,2018,25
4739,2,2018,26
4740,2,2018,27
4741,2,2018,28
4742,2,2018,29
4743,2,2018,30
4744,2,2018,31
4745,2,2018,32
4746,2,2018,33
4747,3,2018,01
4748,3,2018,02
4749,3,2018,03
4750,3,2018,04
4751,3,2018,05
4752,3,2018,06
4753,3,2018,07
4754,3,2018,08
4755,3,2018,09
4756,3,2018,10
4757,3,2018,11
4758,3,2018,12
4759,3,2018,13
4760,3,2018,14
4761,3,2018,15
4762,3,2018,16
4763,3,2018,17
4764,3,2018,18
4765,3,2018,19
4766,3,2018,20
4767,3,2018,21
4768,3,2018,22
4769,3,2018,23
4690,1,2018,11
4686,1,2018,12
4689,1,2018,13
4704,1,2018,17
4694,1,2018,18
4695,1,2018,19
4696,1,2018,20
4697,1,2018,26
4705,1,2018,27
4703,1,2018,28
4707,1,2018,29
4706,1,2018,30
4724,2,2018,10
4723,2,2018,11
4739,2,2018,15
4728,2,2018,16
4729,2,2018,17
4730,2,2018,18
4731,2,2018,25
4740,2,2018,26
4738,2,2018,27
4742,2,2018,28
4741,2,2018,29
4763,3,2018,03
4749,3,2018,04
4752,3,2018,05
4750,3,2018,06
4751,3,2018,07
4753,3,2018,08
4754,3,2018,10
4762,3,2018,11
4756,3,2018,12
4757,3,2018,13
4758,3,2018,14
4759,3,2018,15
4760,3,2018,16
4761,3,2018,17
4773,1,2019,01
4774,1,2019,02
4775,1,2019,03
4776,1,2019,04
4777,1,2019,05
4778,1,2019,06
4779,1,2019,07
4780,1,2019,08
4781,1,2019,09
4782,1,2019,10
4783,1,2019,11
4784,1,2019,12
4787,1,2019,13
4788,1,2019,14
4789,1,2019,15
4790,1,2019,16
4791,1,2019,17
4792,1,2019,18
4793,1,2019,19
4794,1,2019,20
4795,1,2019,21
4796,1,2019,22
4797,1,2019,23
4798,1,2019,24
4799,1,2019,25
4800,1,2019,26
4801,1,2019,27
4802,1,2019,28
4803,1,2019,29
4804,1,2019,30
4805,1,2019,31
4806,1,2019,32
4807,1,2019,33
4808,1,2019,34
4809,1,2019,35
4810,1,2019,36
4811,2,2019,01
4812,2,2019,02
4813,2,2019,03
4814,2,2019,04
4815,2,2019,05
4816,2,2019,06
4817,2,2019,07
4818,2,2019,08
4819,2,2019,09
4820,2,2019,10
4821,2,2019,11
4822,2,2019,12
4823,2,2019,13
4824,2,2019,14
4825,2,2019,15
4826,2,2019,16
4827,2,2019,17
4828,2,2019,18
4829,2,2019,19
4830,2,2019,20
4831,2,2019,21
4832,2,2019,22
4833,2,2019,23
4834,2,2019,24
