race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,pole_winner_laptime,short_name
4704,1,2018,Overton’s 400,1,FALSE,39,Chicagoland Speedway,2018-07-01T14:30:00,2018-07-01T14:30:00,2018-06-30T00:00:00,400.5,400.5,267,267,80,80,107,39,2225,180.012,24,10,5,23,140.636,02:50:52,1.875,0,"Kyle Busch won the Overton's 400 at Chicagoland Speedway, his 48th victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 7, 17, 66, 19 (unapproved adjustments).",0,MRN,NBCSN,1976,NA,Chicagoland
4694,1,2018,Coke Zero Sugar 400,1,TRUE,105,Daytona International Speedway,2018-07-07T19:00:00,2018-07-07T19:00:00,2018-07-06T00:00:00,400,420,160,168,40,40,88,40,4062,194.045,25,16,10,46,130.435,03:13:12,0.125,0,"Erik Jones won the 60th running of the Coke Zero Sugar 400 at Daytona International Speedway, his first Monster Energy NASCAR Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field under penalty: Nos. 19, 99, 95, 38 (Unapproved adjustments).",0,MRN,NBC,408,NA,Daytona
4695,1,2018,Quaker State 400,1,FALSE,61,Kentucky Speedway,2018-07-14T19:30:00,2018-07-14T19:30:00,2018-07-13T00:00:00,400.5,400.5,267,267,80,80,107,39,3368,188.89,14,7,4,22,150.454,02:39:43,1.901,0,"Martin Truex Jr. won the Quaker State 400 presented by Walmart at Kentucky Speedway, his 19th victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reason indicated: No. 42 (missed driver introductions).",0,PRN,NBCSN,3889,NA,Kentucky
4696,1,2018,Foxwoods Resort Casino 301,1,FALSE,138,New Hampshire Motor Speedway,2018-07-22T13:00:00,2018-07-22T13:00:00,2018-07-20T00:00:00,318.46,318.458,301,301,80,80,141,37,453,133.591,10,7,7,31,110.49,02:52:56,1.877,0,"Kevin Harvick won the 26th Annual Foxwoods Resort Casino 301 at New Hampshire Motor Speedway, his 43rd victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 00, 34 (back-up cars).",0,PRN,NBCSN,1683,NA,New Hampshire
4698,1,2018,Gander Outdoors 400,1,FALSE,198,Pocono Raceway,2018-07-29T14:30:00,2018-07-29T14:30:00,2018-07-28T00:00:00,400,410,160,164,50,50,64,40,4113,176.988,13,10,7,29,132.46,03:05:43,1.788,0,"Kyle Busch won the 45th annual Gander Outdoors 400 at Pocono Raceway, his 49th victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: No. 95 (engine change), 15 (driver change) and 23 (unapproved adjustments).",0,MRN,NBCSN,1122,NA,Pocono
4699,1,2018,Go Bowling at The Glen,1,FALSE,157,Watkins Glen International,2018-08-05T15:00:00,2018-08-05T15:00:00,2018-08-04T00:00:00,220.5,220.5,90,90,20,20,50,37,1361,125.534,9,5,4,11,98.928,02:13:44,7.56,0,"Chase Elliott won the 33rd annual Go Bowling at The Glen, his first Monster Energy NASCAR Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: 13 & 00 (unapproved adjustments).",0,MRN,NBC,1482,NA,Watkins-Glen
4700,1,2018,Consumers Energy 400,1,FALSE,133,Michigan International Speedway,2018-08-12T14:30:00,2018-08-12T14:30:00,2018-08-10T00:00:00,400,400,200,200,60,60,80,40,1361,202.794,15,9,8,37,140.474,02:50:51,3.233,0,"Kevin Harvick won the 49th annual Corrigan Oil 200 at Michigan International Speedway, his 44th victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 15 (driver change), 23, 38 (transmission change), 22 (unapproved adjustments).",0,MRN,NBCSN,930,NA,Michigan
4701,1,2018,Bass Pro Shops NRA Night Race,1,FALSE,14,Bristol Motor Speedway,2018-08-18T18:30:00,2018-08-18T18:30:00,2018-08-17T00:00:00,266.5,266.5,500,500,125,125,250,40,4030,127.792,19,9,9,70,89.538,02:58:35,0.367,0,"Kurt Busch won the 58th annual Bass Pro Shops NRA Night Race 500 at Bristol Motor Speedway, his 30th victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 3 (failed pre-race inspection).",0,PRN,NBCSN,612,NA,Bristol
4702,1,2018,Bojangles' Southern 500,1,FALSE,4,Darlington Raceway,2018-09-02T18:00:00,2018-09-02T18:00:00,2018-09-01T00:00:00,501.32,501.322,367,367,100,100,167,40,1361,173.571,7,5,6,35,131.408,03:48:54,1.224,0,"Brad Keselowski won the 69th Bojangles' Southern 500 at Darlington Raceway, his 25th victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 1 and 23 (engine changes), Nos. 96 and 48 (unapproved adjustments).",0,MRN,NBCSN,442,NA,Darlington
4697,1,2018,Big Machine Vodka 400 at the Brickyard,1,FALSE,123,Indianapolis Motor Speedway,2018-09-10T14:00:00,2018-09-10T14:00:00,1900-01-01T00:00:00,400,400,160,160,50,50,60,40,0,0,14,9,10,39,128.629,03:06:35,0.904,0,"Brad Keselowski won the Big Machine Vodka 400 at Indianapolis Motor Speedway, his 27th victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: No. 78 and 19 (inspection infraction), No. 00 and 51 (unapproved adjustments) and No. 95 (pitting before green).",0,IMS,NBCSN,1716,NA,Indy
