race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,pole_winner_laptime,short_name
4780,1,2019,Food City 500,1,FALSE,14,Bristol Motor Speedway,2019-04-07T14:00:00,2019-04-07T14:00:00,2019-04-07T14:00:00,266.5,266.5,500,500,125,125,250,37,4062,131.713,21,9,11,77,90.527,2:56:38,.722,0,"Kyle Busch won the Food City 500 at Bristol Motor Speedway, his 54th Monster Energy NASCAR Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: #47 (backup car) and #4 (multiple inspection failures).",0,PRN,FS1,588,TRUE,NA,Bristol
4781,1,2019,Toyota Owners 400,1,FALSE,26,Richmond Raceway,2019-04-13T19:30:00,2019-04-13T19:30:00,2019-04-13T19:30:00,300,300,400,400,100,100,200,37,1416,124.298,8,5,5,41,99.852,3:00:16,0.178,0,"Martin Truex Jr. won the Toyota Owners 400 at Richmond Raceway, his 20th Monster Energy NASCAR Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: #10, #20, #41, #48, #66, #9, #11, #36 (inspection failure).",0,MRN,FOX,1555,TRUE,NA,Richmond
4782,1,2019,GEICO 500,1,TRUE,82,Talladega Superspeedway,2019-04-28T14:00:00,2019-04-28T13:00:00,2019-04-27T00:00:00,500.08,500.08,188,188,55,55,78,40,3873,192.544,38,15,6,21,161.331,3:05:59,Caution,0,"Chase Elliott won the GEICO 500 at Talladega Superspeedway, his fourth Monster Energy NASCAR Cup Series victory. Prior to the start of the race the following cars dropped to the rear of the field under penalty for the reasons indicated: #6, 11, 17, 18, 19, 20, 27, 51 (unapproved adjustments) and #62 (driver change).",0,MRN,FOX,957,TRUE,NA,Talladega
4783,1,2019,Gander RV 400,1,FALSE,103,Dover International Speedway,2019-05-05T14:00:00,2019-05-06T12:00:00,2019-05-06T12:00:00,400,400,400,400,120,120,160,37,4062,165.96,15,11,6,31,127.242,3:08:37,9.501,0,"Martin Truex Jr. won the Gander RV 400 at Dover International Speedway, his 21st victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: Nos. 15, 27 (engine change); 19, 36, 47, 88 (multiple inspection failures).",0,MRN,FS1,922,TRUE,NA,Dover
4784,1,2019,Digital Ally 400,1,FALSE,41,Kansas Speedway,2019-05-11T19:30:00,2019-05-11T18:30:00,2019-05-11T18:30:00,400.5,406.5,267,271,80,80,111,40,1416,179.217,23,12,7,41,131.023,3:06:09,.205,0,"Brad Keselowski won the 9th Annual Digital Ally 400, his 30th victory in 353 Monster Energy NASCAR Cup Series races. Prior to the start of the race, the following cars dropped to the rear of the field for the reason indicated: #00,9,10,13,19,22,34,41,42, 46 and #66 (failed inspection)",0,MRN,FS1,3884,TRUE,NA,Kansas
4786,1,2019,Monster Energy Open,2,FALSE,162,Charlotte Motor Speedway,2019-05-18T18:00:00,2019-05-18T18:00:00,2019-05-18T18:00:00,75,93,50,62,0,0,0,24,4093,182.168,7,7,4,15,91.877,1:00:44,.867,0,"Kyle Larson won the Monster Energy Open at Charlotte Motor Speedway. his second victory in the Monster Energy NASCAR Cup Series non-points event. Prior to the start of the race, no vehicle(s) dropped to the rear of the field. Stage 1 Winner: William Byron; Stage 2 Winner: Bubba Wallace. ",0,MRN,FS1,3690,TRUE,NA,Charlotte
4785,1,2019,Monster Energy NASCAR All-Star Race,2,FALSE,162,Charlotte Motor Speedway,2019-05-18T20:00:00,2019-05-18T20:00:00,2019-05-18T20:00:00,127.5,132,85,88,30,20,38,19,339,136.371,10,7,8,17,79.439,1:36:18,.322,0,"Kyle Larson won the Monster Energy NASCAR All-Star Race at Charlotte Motor Speedway. his first victory in the Monster Energy NASCAR Cup Series non-points event. Prior to the start of the race, no vehicle(s) dropped to the rear of the field. ",0,MRN,FS1,3670,TRUE,NA,Charlotte
4787,1,2019,Coca-Cola 600,1,FALSE,162,Charlotte Motor Speedway,2019-05-26T18:00:00,2019-05-26T18:00:00,2019-05-23T00:00:00,600,600,400,400,100,100,200,40,4184,183.424,30,11,16,80,124.074,4:50:09,0.330,0,"Martin Truex Jr. won the 60th annual Coca-Cola 600 at Charlotte Motor Speedway, his 22nd victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 36 (multiple inspection failures).",0,PRN,FOX,447,TRUE,NA,Charlotte
4788,1,2019,Pocono 400,1,FALSE,198,Pocono Raceway,2019-06-02T14:00:00,2019-06-02T14:00:00,2019-06-02T14:00:00,400,400,160,160,50,50,60,37,4184,173.494,13,9,8,28,134.718,2:58:09,2.224,0,"Kyle Busch won the 38th running of the Pocono 400 at Pocono Raceway, his 55th victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 95 (engine change) and 52 (unnapproved adjustments). ",0,MRN,FS1,1358,TRUE,NA,Pocono
4789,1,2019,FireKeepers Casino 400,1,FALSE,133,Michigan International Speedway,2019-06-09T14:00:00,2019-06-10T17:00:00,2019-06-10T17:00:00,400,406,200,203,60,60,83,36,3859,187.139,20,11,7,35,140.945,2:52:50,.147,0,"Joey Logano won the FireKeepers Casino 400 at Michigan International Speedway, his 23rd Monster Energy NASCAR Cup Series victory. No cars dropped to the rear prior to the start of the race.",0,MRN,FS1,917,TRUE,NA,Michigan
